"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","ic","Q1","att_1","att_2","comp_1","comp_2","auto_1","auto_1_ad","ad_1","resp_software1_10","resp_human1_10","liable_firm1_1","liable_human1_1","liab_text1","comp_3","co_1","co_1_ad","ad_2","resp_software2_10","resp_human2_10","liab_firm2_1","liab_human2_1","liab_text2","comp_4","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","license","ai_knowledge_1","PROLIFIC_PID"
"2023-10-20 13:39:46","2023-10-20 13:42:02","0","Anonymized","100","135","1","2023-10-20 13:42:02","R_PvL5TRbVJNZtIdz","","","","","Anonymized","Anonymized","anonymous","EN","1","5cffe60f6846ae00019d35ef","2","2","2","4","3","","","100","0","100","0","The car is driving the human home ","2","","","","","","","","","","1","","2","","36","6","","1","12","5cffe60f6846ae00019d35ef"
"2023-10-20 13:40:52","2023-10-20 13:43:34","0","Anonymized","100","162","1","2023-10-20 13:43:35","R_1MKmRiyYCEOBnzP","","","","","Anonymized","Anonymized","anonymous","EN","1","60dcf5bbb02e607c4e96fcb6","2","2","2","4","","","","","","","","","","5","","","30","80","30","85","human driver is more accountable because they are supposed to be alert and intervene. it's not full self driving yet","1","1","","3","","33","4","","1","65","60dcf5bbb02e607c4e96fcb6"
"2023-10-20 13:41:23","2023-10-20 13:44:10","0","Anonymized","100","167","1","2023-10-20 13:44:11","R_3isQzdIwdb3IDV4","","","","","Anonymized","Anonymized","anonymous","EN","1","5e8dd293b7dd310583dd2b41","2","2","2","4","","","","","","","","","","","4","1","0","100","0","100","Ultimately, the human driver is liable, he should not have taken his eyes off the road even if he had some assistance from the computer.","1","2","","3","","59","4","","1","91","5e8dd293b7dd310583dd2b41"
"2023-10-20 13:46:41","2023-10-20 13:49:40","0","Anonymized","100","179","1","2023-10-20 13:49:41","R_3qL5q2dZ2HyCCKS","","","","","Anonymized","Anonymized","anonymous","EN","1","60be09fe05b5adf03149a85f","2","2","2","4","","6","1","0","100","0","100","If you are in the drivers seat you are ultimately responsible for the vehicle. If you are distracted in the drivers seat it is your own fault.","2","","","","","","","","","","2","","3","","42","3","","1","18","60be09fe05b5adf03149a85f"
"2023-10-20 13:47:14","2023-10-20 13:50:01","0","Anonymized","100","167","1","2023-10-20 13:50:02","R_3KC9OJ93yICk7d0","","","","","Anonymized","Anonymized","anonymous","EN","1","5cb51c3b8a320c0012b54311","2","2","2","4","4","","","80","100","90","100","No matter the level of automation, it is the person's responsibility to maintain full attention to the road. ","2","","","","","","","","","","1","","2","","25","4","","1","74","5cb51c3b8a320c0012b54311"
"2023-10-20 13:47:12","2023-10-20 13:50:32","0","Anonymized","100","200","1","2023-10-20 13:50:33","R_2B5RSVkzY3acPcr","","","","","Anonymized","Anonymized","anonymous","EN","1","63f7b8c25fc05973386fcdff","2","2","2","4","","","","","","","","","","4","","","80","71","65","65","I think that Aeon is slightly more liable due to the copilot system being switched on. The human driver is still liable assuming that he can override the copilot system and could've avoided running the stop sign if he was paying attention","1","1","","3","","28","4","","1","24","63f7b8c25fc05973386fcdff"
"2023-10-20 13:47:52","2023-10-20 13:50:33","0","Anonymized","100","161","1","2023-10-20 13:50:34","R_UEn72WrZejBdvep","","","","","Anonymized","Anonymized","anonymous","EN","1","57f93a0d4dc07a0001c2247d","2","2","2","4","","","","","","","","","","6","","","0","100","0","100","Ultimately it is the responsibility of the driver to ensure all traffic laws are followed and to ensure that the vehicle is operating safely. ","1","1","","3","","28","4","","1","30","57f93a0d4dc07a0001c2247d"
"2023-10-20 13:46:51","2023-10-20 13:50:58","0","Anonymized","100","247","1","2023-10-20 13:50:59","R_2CPaveC1g49NuzA","","","","","Anonymized","Anonymized","anonymous","EN","1","5d77dcc861177d0017ea722b","2","2","2","4","6","","","75","75","80","75","It really depends on what the car's autopilot system is like. If it promised complete autonomy for the driver, then there is an expectation for the customer. However, many ""self-driving"" cars require the driver to operate the pedals still, which would include stopping.","2","","","","","","","","","","1","","3","","22","4","","1","60","5d77dcc861177d0017ea722b"
"2023-10-20 13:47:31","2023-10-20 13:51:04","0","Anonymized","100","212","1","2023-10-20 13:51:04","R_1kMIZbAfoLjb4jl","","","","","Anonymized","Anonymized","anonymous","EN","1","62029b56ef1cb18a1337c806","2","2","2","4","","6","1","83","77","100","66","I think both are liable, just because the car has autopilot doesn't mean you can do  whatever","2","","","","","","","","","","1","","3","","24","4","","1","88","62029b56ef1cb18a1337c806"
"2023-10-20 13:48:33","2023-10-20 13:51:13","0","Anonymized","100","160","1","2023-10-20 13:51:14","R_UQjWhvXb7zBzZ1T","","","","","Anonymized","Anonymized","anonymous","EN","1","628b9a0c406bd1573eb608f2","2","1","2","4","","","","","","","","","","4","","","0","100","0","100","Shouldn't be checking on phone or ever relying on a co-pilot feature.","1","1","","2","","30","3","","1","5","628b9a0c406bd1573eb608f2"
"2023-10-20 13:48:42","2023-10-20 13:52:30","0","Anonymized","100","228","1","2023-10-20 13:52:31","R_3Gp6e6iYyYa889u","","","","","Anonymized","Anonymized","anonymous","EN","1","60fe2255ec4625f1c70e8581","2","2","2","4","4","","","35","60","63","69","I think ultimately the human in the car needs to be present and paying attention to their surroundings, however, it seems like a mechanical issue was present and that would be the company's liability. ","2","","","","","","","","","","2","","3","","29","5","","1","75","60fe2255ec4625f1c70e8581"
"2023-10-20 13:47:28","2023-10-20 13:52:52","0","Anonymized","100","323","1","2023-10-20 13:52:52","R_2cd6A64BLlFwgYe","","","","","Anonymized","Anonymized","anonymous","EN","1","6353f3225208e44c98e33a3e","2","2","2","4","","5","1","71","22","76","25","I think because the human is not really controlling the car, the human should not be considered liable.","2","","","","","","","","","","3","","7","","50","1","","1","22","6353f3225208e44c98e33a3e"
"2023-10-20 13:49:55","2023-10-20 13:54:04","0","Anonymized","100","249","1","2023-10-20 13:54:05","R_3p2PMWHOrsyJe6M","","","","","Anonymized","Anonymized","anonymous","EN","1","60fddd1002aaa9bba906ed6a","2","2","2","4","","","","","","","","","","","4","1","65","60","70","55","Aeon, the company, is more liable because the car was switched on, but the driver should have been looking forward.","1","2","","4","","20","3","","1","80","60fddd1002aaa9bba906ed6a"
"2023-10-20 13:50:22","2023-10-20 13:54:05","0","Anonymized","100","222","1","2023-10-20 13:54:06","R_29jlYCTdTtLuzXc","","","","","Anonymized","Anonymized","anonymous","EN","1","63d540dd543bfd576ffdf078","2","2","2","4","","","","","","","","","","4","","","81","67","78","63","I actually think that they are both liable for the accident. The human because he bought the car and the car because it is supposed to be able to drive itself.","1","1","","3","","34","3","","2","33","63d540dd543bfd576ffdf078"
"2023-10-20 13:48:24","2023-10-20 13:54:30","0","Anonymized","100","365","1","2023-10-20 13:54:30","R_uxAtrS6yRWszSNz","","","","","Anonymized","Anonymized","anonymous","EN","1","60a2743299a0c895f50925f4","2","2","2","4","","","","","","","","","","","6","1","10","90","10","90","Ultimately, it is still the human that possesses real processing abilities and moral compass. Their car=their fault.","1","2","","3","","56","2","","1","15","60a2743299a0c895f50925f4"
"2023-10-20 13:50:03","2023-10-20 13:54:45","0","Anonymized","100","282","1","2023-10-20 13:54:46","R_2XbtGRUddkJf55I","","","","","Anonymized","Anonymized","anonymous","EN","1","5858610a7ac7900001733bb2","2","2","2","4","4","","","72","100","69","100","I think that the human driver is more responsible because he should have been paying attention to the road in order to mitigate any damages that may occur for instances in which the Autopilot fails to do so. ","2","","","","","","","","","","1","","1","","45","3","","2","70","5858610a7ac7900001733bb2"
"2023-10-20 13:51:14","2023-10-20 13:54:55","0","Anonymized","100","220","1","2023-10-20 13:54:55","R_1K2pYQomtSwOH4M","","","","","Anonymized","Anonymized","anonymous","EN","1","62ffb36147e8cb67b697e5dd","2","2","2","4","","","","","","","","","","","3","1","10","100","0","100","At the end of the Day its the Humans responsibility to be in charge of the vehicle.","1","1","","3","","35","1","","1","20","62ffb36147e8cb67b697e5dd"
"2023-10-20 13:51:53","2023-10-20 13:55:02","0","Anonymized","100","188","1","2023-10-20 13:55:03","R_1ltzCM8pMZ8Hzdq","","","","","Anonymized","Anonymized","anonymous","EN","1","5f2dcd2ccfe454102f662f95","2","2","2","4","","","","","","","","","","","5","1","65","74","74","77","The onus is still on the driver as that is how legislation is currently written.  I personally believe the company had some fault as well but they are legally less liable than the person.","2","1","","3","","29","4","","1","60","5f2dcd2ccfe454102f662f95"
"2023-10-20 13:52:31","2023-10-20 13:55:25","0","Anonymized","100","174","1","2023-10-20 13:55:26","R_2tr2hrswwaV8nZu","","","","","Anonymized","Anonymized","anonymous","EN","1","63caca07727ec41e89a42b72","2","2","2","4","","","","","","","","","","5","","","5","100","5","99","The human driver is more liable because they are the one operating the vehicle. The distraction and mistake is at the fault of the human.","1","2","","3","","20","3","","1","27","63caca07727ec41e89a42b72"
"2023-10-20 13:51:21","2023-10-20 13:55:32","0","Anonymized","100","250","1","2023-10-20 13:55:32","R_1LqBZJRbQZxwKka","","","","","Anonymized","Anonymized","anonymous","EN","1","5b662d96b178a90001d16ea6","2","1","2","4","","4","1","11","95","10","100","Regardless of whether or not the autopilot was on, if there is human input required, the human would be responsible.","2","","","","","","","","","","1","","3","","39","4","","1","40","5b662d96b178a90001d16ea6"
"2023-10-20 13:51:54","2023-10-20 13:55:40","0","Anonymized","100","225","1","2023-10-20 13:55:40","R_DoQ0wQdSNGmXISR","","","","","Anonymized","Anonymized","anonymous","EN","1","5ecf24854c2e85345e65c367","2","2","2","4","","","","","","","","","","3","","","20","70","20","70","I think the human is more liable because at the end of the day, they are the one driving the car and they are responsible for any issues that arise from that. They're in control despite the copilot helping.","1","1","","3","","32","4","","1","30","5ecf24854c2e85345e65c367"
"2023-10-20 13:50:07","2023-10-20 13:56:44","0","Anonymized","100","396","1","2023-10-20 13:56:44","R_2DYdqccCRDkBW2O","","","","","Anonymized","Anonymized","anonymous","EN","1","6163a4324980fcd5e2b0d4d1","2","2","2","4","","5","1","85","83","89","76","If auto pilot is on, the company is the one who is responsible. ","2","","","","","","","","","","2","","1","","29","4","","1","60","6163a4324980fcd5e2b0d4d1"
"2023-10-20 13:54:56","2023-10-20 13:57:13","0","Anonymized","100","136","1","2023-10-20 13:57:14","R_1d5p6jOnpGRgMzg","","","","","Anonymized","Anonymized","anonymous","EN","1","5ea96c415a6a4e068b6d1e84","2","2","2","4","","","","","","","","","","","1","1","0","100","0","100","The human driver still should've been paying attention and ready to intervene if needed.","1","1","","2","","37","5","","1","100","5ea96c415a6a4e068b6d1e84"
"2023-10-20 13:54:49","2023-10-20 13:57:45","0","Anonymized","100","176","1","2023-10-20 13:57:45","R_1nZOhFff7HEK8Ob","","","","","Anonymized","Anonymized","anonymous","EN","1","6046a3204e2a7f0ecd80fa26","2","2","2","4","4","","","90","65","90","71","The company should have to pay for the damages due to a failure of the system. However, the human is also at fault as the driver must always be aware while in the drivers seat- regardless if the vehicle is autopiloted or not.","2","","","","","","","","","","1","","3","","24","4","","1","35","6046a3204e2a7f0ecd80fa26"
"2023-10-20 13:52:01","2023-10-20 13:57:56","0","Anonymized","100","354","1","2023-10-20 13:57:56","R_30f7kO2VUvywAko","","","","","Anonymized","Anonymized","anonymous","EN","1","5e99e3eaf88ad2058ac59615","2","2","2","4","","3","1","38","69","77","72","I think ultimately Aeon holds more responsibility, since claiming they have 92% fewer less collisions, yet their automation failed to stop at a sign, means they do hold responsibility. Though owning an automated car in this stage of the game, the human still needs to be paying attention, they hold some responsibility as well. ","2","","","","","","","","","","2","","3","","43","3","","1","25","5e99e3eaf88ad2058ac59615"
"2023-10-20 13:50:20","2023-10-20 13:58:12","0","Anonymized","100","472","1","2023-10-20 13:58:13","R_24vzWyfaUZxdqEn","","","","","Anonymized","Anonymized","anonymous","EN","1","57a93244dcff7d0001c7d86f","2","2","2","4","4","","","80","100","80","100","I believe that they are both responsible for the accident, but the human driver is more responsible. The company is responsible for creating the vehicle without proper safety mechanics and testing, and the driver is especially responsible for not keeping his eyes on the road while in the driver's seat of a vehicle.","2","","","","","","","","","","2","","3","","29","8","Less than High School","2","40","57a93244dcff7d0001c7d86f"
"2023-10-20 13:51:53","2023-10-20 13:58:17","0","Anonymized","100","383","1","2023-10-20 13:58:17","R_33mbpY4U1JBC63x","","","","","Anonymized","Anonymized","anonymous","EN","1","5f5fa55d3aa555022fd411bc","2","2","2","4","","","","","","","","","","","5","1","57","67","50","74","They both share around the same amount of responsibility. ","1","1","","1","","22","3","","1","72","5f5fa55d3aa555022fd411bc"
"2023-10-20 13:51:57","2023-10-20 13:58:28","0","Anonymized","100","391","1","2023-10-20 13:58:28","R_0IpE0YuVroDsQg1","","","","","Anonymized","Anonymized","anonymous","EN","1","629075a83e17794e104bb46b","2","2","1","4","","","","","","","","","","5","","","50","50","100","50","The company is responsible. Why have the co pilot if they are not good for instances such as this.","1","2","","3","","65","1","","1","20","629075a83e17794e104bb46b"
"2023-10-20 13:55:16","2023-10-20 13:58:33","0","Anonymized","100","196","1","2023-10-20 13:58:33","R_1QyAgptUz2agKT1","","","","","Anonymized","Anonymized","anonymous","EN","1","57c25905a170cc000103ee58","2","2","2","4","5","","","84","76","87","60","I think they are both at fault.  Auto pilot to me does not seem 100% safe.  We need to recognize that and continue to pay attention as best we can to the road still.","2","","","","","","","","","","1","","4","","38","3","","1","52","57c25905a170cc000103ee58"
"2023-10-20 13:55:04","2023-10-20 13:59:02","0","Anonymized","100","237","1","2023-10-20 13:59:02","R_2S2L16O0Uy7qQhQ","","","","","Anonymized","Anonymized","anonymous","EN","1","6124232e0de36853de1edfa5","2","2","2","4","","","","","","","","","","","4","1","60","75","60","90","I believe the human driver is more liable for the accident, but this is primarily because I don't know what the role of the Copilot system is, meaning I don't know what the car is meant to notice or not. That being said, from the description, checking your phone while driving even in an automated vehicle seems careless and irresponsible, so I believe the human is more at fault.","1","2","","3","","21","3","","2","10","6124232e0de36853de1edfa5"
"2023-10-20 13:53:32","2023-10-20 13:59:21","0","Anonymized","100","348","1","2023-10-20 13:59:22","R_tG7XK6NxmNCgCtz","","","","","Anonymized","Anonymized","anonymous","EN","1","615528d84655a2ab9655a686","2","2","2","4","3","","","0","100","0","100","I believe the human driver should have been aware of his surroundings. If they would have avoided being distracted they would have avoided being in an accident.","3","","","","","","","","","","1","","3","","35","1","","2","25","615528d84655a2ab9655a686"
"2023-10-20 13:56:30","2023-10-20 13:59:26","0","Anonymized","100","175","1","2023-10-20 13:59:27","R_3iViFpjC48FdTwg","","","","","Anonymized","Anonymized","anonymous","EN","1","5c2c4c8889f0350001759cf7","2","1","2","4","","5","1","70","70","70","70","I honestly think they are both at fault. The human looked at his phone, but the car also didn't operate how it is supposed to. ","2","","","","","","","","","","2","","3","","29","4","","1","25","5c2c4c8889f0350001759cf7"
"2023-10-20 13:55:11","2023-10-20 13:59:26","0","Anonymized","100","255","1","2023-10-20 13:59:27","R_3PRipYX71VQykHx","","","","","Anonymized","Anonymized","anonymous","EN","1","5f4eba6f2e67600f9f89b98b","2","2","2","4","","","","","","","","","","5","","","20","80","20","80","The human is the main pilot, the AEON advertises as a co-pilot which leans more into them not being in full control.","1","1","","3","","27","1","","2","30","5f4eba6f2e67600f9f89b98b"
"2023-10-20 13:49:11","2023-10-20 13:59:29","0","Anonymized","100","617","1","2023-10-20 13:59:30","R_1kMKgvFMhCWNhSu","","","","","Anonymized","Anonymized","anonymous","EN","1","5e0a2f6377f8652c6fc3f887","2","2","2","4","","","","","","","","","","4","","","82","100","85","100","The human driver, because he used his phone while ""driving"". Even with the autofunction on, he still needs to be aware and paying attention to his surroundings.","1","2","","3","","31","3","","1","10","5e0a2f6377f8652c6fc3f887"
"2023-10-20 13:54:32","2023-10-20 13:59:31","0","Anonymized","100","299","1","2023-10-20 13:59:31","R_2rM9rSocgKJSDix","","","","","Anonymized","Anonymized","anonymous","EN","1","56e0f3868b1c33000a38855e","2","2","2","4","","5","1","0","100","51","100","The human is ultimately responsible for the car being in the driver's seat, regardless of autodrive capability.  However, they would probably be able to successfully sue Aeon for false advertising at the very least given the car did not perform correctly.","3","","","","","","","","","","4","Nonbinary","3","","35","4","","1","40","56e0f3868b1c33000a38855e"
"2023-10-20 13:58:40","2023-10-20 14:01:26","0","Anonymized","100","166","1","2023-10-20 14:01:27","R_29amH02FA2C5m0c","","","","","Anonymized","Anonymized","anonymous","EN","1","61391e597dbe122a2dffb914","2","2","2","4","4","","","60","70","70","80","I think the company is liable for their product malfunctioning, but the human is more liable for selecting to use a car with the potential to hurt someone","2","","","","","","","","","","2","","3","","23","4","","1","30","61391e597dbe122a2dffb914"
"2023-10-20 13:53:17","2023-10-20 14:01:26","0","Anonymized","100","489","1","2023-10-20 14:01:27","R_1mQ1yc8UrIowMXa","","","","","Anonymized","Anonymized","anonymous","EN","1","612340e76d1a2437f7049929","2","2","1","4","4","","","100","10","100","10","Aeon is liable because it is their service that is driving.","2","","","","","","","","","","1","","1","","58","1","","1","4","612340e76d1a2437f7049929"
"2023-10-20 13:53:35","2023-10-20 14:01:57","0","Anonymized","100","502","1","2023-10-20 14:01:58","R_3PpdG7PLNrbw29Y","","","","","Anonymized","Anonymized","anonymous","EN","1","6500c32aeecc75706e1bcaf1","2","2","2","4","6","","","81","30","85","30","Although the human driver was on the phone and should have been paying attention, the car was on autopilot which makes Aeon more liable.","2","","","","","","","","","","2","","1","","54","3","","1","40","6500c32aeecc75706e1bcaf1"
"2023-10-20 13:58:46","2023-10-20 14:02:08","0","Anonymized","100","202","1","2023-10-20 14:02:09","R_31j8iz5hvMPvvEw","","","","","Anonymized","Anonymized","anonymous","EN","1","5eb6b8ee9351615bd9d99fde","2","2","2","4","5","","","100","40","90","70","the human would not have checked his phone if the autopilot wasn't on because he would have been concentrating on driving","2","","","","","","","","","","2","","3","","66","4","","1","10","5eb6b8ee9351615bd9d99fde"
